Gene	Drug	cor	pvalue
EMP1	Palbociclib	-0.448567563373343	0.000324988402695454
EMP1	8-Chloro-adenosine	-0.44307120131958	0.000392249109958773
EMP1	Dexrazoxane	-0.433755500138201	0.000535698858600364
EMP1	Nitrogen mustard	-0.418512076470978	0.000875482178940657
EMP1	Oxaliplatin	-0.406937837746209	0.00125227220697088
EMP1	Pevonedistat	-0.375219048081062	0.00313634394102375
EMP1	Batracylin	-0.367939124989061	0.003824341655434
EMP1	Valrubicin	-0.367031769974397	0.00391882977189337
EMP1	Teniposide	-0.366173368506061	0.00401011444438316
EMP1	Hydroxyurea	-0.352481956916696	0.00574248143659771
EMP1	OSI-027	0.345089301155443	0.00692733420552565
EMP1	Idarubicin	-0.343791679148489	0.00715602373509269
EMP1	Vertex ATR inhibitor Cpd 45	-0.343424426330821	0.00722193382181569
EMP1	Etoposide	-0.339923450726259	0.00787735801055063
EMP1	tfdu	-0.332485783561251	0.00944408017661866
EMP1	Thiotepa	-0.331040228559164	0.00977815153893551
EMP1	AMG-900	-0.330882454296432	0.0098152268524721
EMP1	RH1	-0.330187463598328	0.00997999819689411
