Gene	Drug	cor	pvalue
GSN	PLX-4720	0.620567977948728	1.22999959858743e-07
GSN	Vemurafenib	0.597210272265246	4.72909619413066e-07
GSN	SB-590885	0.593523072364377	5.79302053478568e-07
GSN	PD-98059	0.58638398903865	8.52021550461872e-07
GSN	Dabrafenib	0.554605459094416	4.26507599209538e-06
GSN	ARRY-162	0.49843717814404	5.05804464005248e-05
GSN	Oxaliplatin	-0.494593319846408	5.89899393445111e-05
GSN	RO-5126766	0.490099989409359	7.04457320672298e-05
GSN	Selumetinib	0.489038313612912	7.34361405021704e-05
GSN	Pimasertib	0.473307742901031	0.000133842744600879
GSN	AMONAFIDE	-0.462057955188494	0.000202031848643369
GSN	HYPOTHEMYCIN	0.454429498956584	0.000264977928357677
GSN	RO-4987655	0.452652316796558	0.000282005161323164
GSN	Valrubicin	-0.449616751917764	0.000313412568419548
GSN	Palbociclib	-0.440602694464144	0.000426389772117321
GSN	ST-3595	-0.431345761388765	0.000579843055196586
GSN	TAK-733	0.427376358575194	0.000659793426979344
GSN	AS-703569	-0.423438393941268	0.000748844071924655
GSN	PD-0325901	0.421976681555637	0.000784570944009215
GSN	PYRAZOLOACRIDINE	-0.408714798501889	0.00118628699339532
GSN	Trametinib	0.395225492004159	0.00177616560946033
GSN	OSU-03012	-0.393326772737842	0.00187749584493004
GSN	MITOXANTRONE	-0.390861372823012	0.0020167706724372
GSN	Varbulin	-0.387226862939032	0.00223894255395897
GSN	Mitoxantrone	-0.384399413140742	0.00242661605639395
GSN	Okadaic acid	0.37469855504824	0.00318160793153794
GSN	CYC-116	-0.374319284321315	0.00321495487053502
GSN	Pyrazoloacridine	-0.372971295520353	0.00333599897961877
GSN	Batracylin	-0.372098644757122	0.00341649826512579
GSN	Dexrazoxane	-0.366502606577004	0.00397488254943425
GSN	LMP-400	-0.364741627961742	0.00416655644580764
GSN	Hydroxyurea	-0.36414326316792	0.00423351934456079
GSN	Nitrogen mustard	-0.363310106299054	0.00432834026974079
GSN	Asparaginase	-0.360564642500672	0.00465420182080574
GSN	XR-11576	-0.357598789354911	0.00503034558525741
GSN	Apitolisib	0.356414421875324	0.00518787335793678
GSN	Ribavirin	-0.355221608244843	0.00535089503964085
GSN	DIGOXIN	-0.354290471748801	0.00548126681425383
GSN	Idarubicin	-0.351787537420716	0.005845647847293
GSN	GSK-2126458	0.348129904825611	0.00641634162927365
GSN	sr 13654	-0.347454214846917	0.0065269490744397
GSN	Pemetrexed	-0.341152045999348	0.0076416723022646
GSN	Teniposide	-0.336342962699669	0.00860074440011597
GSN	XK-469	-0.334963000745961	0.00889460653449452
GSN	Pracinostat	0.334134904654681	0.0090751097226985
GSN	Lexibulin	-0.331795776006729	0.00960228528633725
