Gene	Drug	cor	pvalue
TUBA1C	Denileukin Diftitox Ontak	-0.43197961882048	0.000567922624393797
TUBA1C	Irofulven	0.373630865134611	0.00327627639213787
TUBA1C	JNJ-38877605	0.361150669852724	0.00458288514574877
TUBA1C	Vinorelbine	-0.360315309261158	0.00468483995746168
TUBA1C	Eribulin mesilate	-0.35471359192381	0.00542168215498124
TUBA1C	Isotretinoin	-0.35115144649143	0.00594157264480811
TUBA1C	Paclitaxel	-0.350082656255597	0.00610586236702715
TUBA1C	Tamoxifen	-0.346993770273323	0.00660327514376558
TUBA1C	Actinomycin D	-0.337916988496789	0.00827590629922935
TUBA1C	Simvastatin	0.332824690543811	0.00936720797270242
TUBA1C	DOLASTATIN 10	-0.330312031208995	0.00995028992300998
