id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
TCGA-A2-A1G6	0.061013754	0	0.021018632	0.221438978	0	0.079736915	0	0.017485718	0.020864324	0	0	0.002822369	0.014675456	0	0.01360879	0.241594453	0.186043811	0	0.114204531	0.001431832	0	0.004060437
TCGA-GM-A2DF	0.059474122	0	0.109490011	0.052614509	0	0.126209378	0.000543394	0.069745609	0.075234784	0	0	0.039914533	0	0.259790431	0.091342943	0.11190717	0	0	0.003733117	0	0	0
TCGA-EW-A6SC	0.04922274	0	0.024612353	0.043694614	0	0.131523958	0	0.051845006	0	0	0	0	0.003206519	0.119140628	0.05837251	0.159091823	0.118388894	0	0	0.221896282	0.015753465	0.003251208
TCGA-EW-A1IX	0.077580819	0	0.012551751	0.033371901	0	0.17065819	0	0.032783868	0.026928087	0	0	0	0	0.304951395	0.019502991	0.14380163	0.02106736	0.010153217	0.00794644	0.133599543	0	0.005102808
TCGA-E2-A1LS	0.095344285	0	0	0.115029057	0	0.154713501	0	0.1154549	0	0	0	0	0.055917947	0	0.174729243	0.208549472	0	0.080261595	0	0	0	0
TCGA-BH-A0B5	0.058879039	0	0.006089394	0.108249524	0	0.184849561	0.008714126	0.016309978	0.013166727	0.005762259	0	0.012099045	0	0.237042067	0.107563344	0.119513919	0.009164513	0	0.112596505	0	0	0
TCGA-D8-A27K	0.178688822	0	0.01483521	0.024057494	0	0.326623452	0.010216287	0.047024766	0.010240345	0	0.031945358	0	0.007295169	0.054422791	0.143082798	0.088163723	0	0	0.063403786	0	0	0
TCGA-E2-A1IO	0.048596434	0	0.007411903	0.150590877	0	0.215158632	0.011449883	0.056676907	0.043009373	0.034091707	0	0	0	0.139040828	0.094900046	0.089380269	0.02669196	0.00602652	0.07697466	0	0	0
TCGA-C8-A132	0.103589339	0	0.07475636	0.178739635	0	0.156202074	0.02261368	0.042758346	0.051054531	0.004760977	0	0	0	0.126839387	0.062444915	0.091263667	0.049451891	0.012307345	0.023217853	0	0	0
TCGA-BH-A0HA	0.036567751	0	0.008968062	0.054628507	0	0.238350145	0	0.032899928	0.030679021	0.0433044	0	0.059839746	0	0.046023319	0.179959648	0.065911192	0.037958572	0	0.163892848	0	0	0.00101686
TCGA-D8-A1Y2	0.014213719	0.004667901	0.000281812	0.097799319	0	0.122605049	0.020913051	0	0.027110554	0.028968927	0	0	0	0.440690198	0.06553298	0.123741412	0.005050424	0	0.048424654	0	0	0
TCGA-BH-A0BD	0.048742622	0	0.003657197	0.111784184	0	0.229536759	0.017187709	0.073350418	0.017335918	0.004946558	0	0.000373748	0.001351829	0.082552148	0.161032205	0.112472014	0.033127334	0	0.100547185	0	0	0.002002172
TCGA-GM-A3XL	0.049545842	0	0.062622035	0.200097758	0	0	0.170184866	0.041577707	0	0	0	0.044546371	0	0.091667383	0.071684921	0.161176812	0.022519039	0.012069435	0.070475698	0	0	0.001832133
TCGA-D8-A1XL	0.034888302	0	0.021946965	0.137179036	0	0.176778388	0.04165188	0.102676168	0.049775822	0.031812164	0	0.004358353	0.024167912	0.03708528	0.131467496	0.158670674	0.002223243	0.004514097	0.040804219	0	0	0
TCGA-A2-A3XS	0.12830404	0	0	0.110091701	0	0.224745759	0	0.063158182	0.090614659	0	0	0.038665074	0.005343135	0.090659776	0.091093346	0.104670751	0.004780014	0.000164696	0.047708867	0	0	0
TCGA-AC-A2FG	0.06153168	0	0.141143744	0.061239543	0	0.125975222	0	0.020792457	0.009431564	0.01204992	0	0	0	0.148954227	0.023307531	0.137735343	0.085509114	0	0.172329655	0	0	0
TCGA-D8-A73U	0	0.012649941	0.038949121	0.258828331	0	0.218570977	0.002522164	0.043529785	0.023617128	0.001426921	0	0.020863971	0.003694842	0.136636446	0.070671464	0.11758868	0.001120874	0	0.049329355	0	0	0
TCGA-AR-A24U	0.051747064	0	0.009122937	0.06855148	0	0.262546841	0.05521668	0.022508781	0.00724077	0.007102652	0.015157257	0	0	0.160158467	0.093649269	0.161865058	0.043235792	0	0.041896951	0	0	0
TCGA-A2-A0D1	0.043250181	0	0.012742062	0.155303105	0	0.107810646	0.011019272	0.083224598	0.031842458	0	0	0.011095248	0	0.353545884	0.056049249	0.110602257	0	0	0.02351504	0	0	0
TCGA-LL-A8F5	0.018227447	0	0.195459339	0.05772667	0	0.064321612	0.025189537	0.049185978	0.066819253	0.017250558	0	0.020709238	0	0.271269825	0.081369306	0.10545497	0	0	0.027016265	0	0	0
TCGA-EW-A1P7	0.10762465	0.122915137	0.077842162	0.158423922	0	0.223773744	0	0.033658103	0.021245968	0.01771786	0	0	0	0.114737353	0.051814335	0.04252097	0	0.010532441	0.017193356	0	0	0
TCGA-BH-A0DK	0.069296292	0	0.01761447	0.167410491	0	0.279610792	0.003398304	0.034280008	0.051711655	0	0	0.025403886	0	0.116415843	0.097203674	0.08683307	0.013951079	0	0.036870436	0	0	0
TCGA-BH-A1EX	0.056295658	0	0.002314351	0.042457559	0	0.157129213	0.003192118	0.051691324	0.009076015	0.01787218	0	0	0	0.36333981	0.064419775	0.206035821	0	0	0	0.01771936	0	0.008456815
TCGA-A7-A5ZW	0.070364227	0	0.00994404	0.079402565	0	0.140554249	0.002949906	0.024041433	0.006296215	0.004174045	0	0.005869934	0	0.210839767	0.039990968	0.165700117	0.033910863	0	0.20596167	0	0	0
TCGA-B6-A0IM	0.000935685	0	0	0.047247474	0	0.035950591	0	0	0.013233285	0.005332367	0.021723391	0	0	0.507849566	0.087659914	0.187582099	0	0	0.092485628	0	0	0
TCGA-BH-A0DT	0.100135594	0	0.009192773	0.084722645	0	0.218924366	0	0.045675591	0.033163808	0.011207224	0	0.003271242	0.003124763	0.153243721	0.127090247	0.050630688	0.094744108	0	0.064873228	0	0	0
TCGA-E9-A24A	0.038262562	0	0.004485264	0.015069078	0	0.155718818	0.010300771	0.022927231	0.006516715	0.011852154	0.008158922	0	0.040392439	0.175200518	0.073473314	0.385993291	0.015101226	0	0.036547699	0	0	0
TCGA-C8-A12Z	0.027496066	0	0.039156096	0.017509465	0	0.058529498	0	0.041886273	0.022219588	0	0	0.003461582	0	0.568429758	0.07376166	0.101922161	0	0	0.045627853	0	0	0
TCGA-E9-A1QZ	0.057510162	0.036508316	0.01271429	0.181783461	0	0.260460003	0.064338671	0.014680191	0.003636288	0.066107179	0	0	0	0.013954052	0.095943486	0.087860243	0.043403445	0.005201543	0.055538536	0	0	0.000360135
TCGA-AR-A1AS	0	0.01728592	0	0.021205337	0	0.048232604	0	0	0.010837723	0	0.04014748	0	0	0.47856473	0	0.332503297	0	0.000717653	0.050505256	0	0	0
TCGA-D8-A1JT	0	0.011433829	0	0.02328165	0	0.050022745	0	0.066367101	0.008561974	0.01475093	0	0.035324467	0	0.374122155	0.075661677	0.250678092	0	0.036172047	0.048722302	0	0	0.004901031
TCGA-D8-A1J8	0.03726845	0	0.001904037	0.148933207	0	0.097698428	0.098849345	0.069954532	0.009763504	0.045225103	0	0.02021379	0	0.129922535	0.121041341	0.153766411	0	0.0369185	0.008888095	0	0	0.019652722
TCGA-E9-A3QA	0.030108734	0.012932789	0.019368446	0.083685834	0	0.108062341	0.070907595	0.050350352	0.064456921	0	0	0.025361964	0	0.214933342	0.197000316	0.051730831	0.007354797	0.047414275	0.016331464	0	0	0
TCGA-BH-A1ET	0.07821703	0	0.019335516	0.136660615	0	0.278284238	0.00313309	0.016654472	0	0	0	0.002182602	0.094080985	0	0.081662993	0.1661159	0.037410951	0	0.08626161	0	0	0
TCGA-E2-A153	0.002004621	0	0.00587718	0	0	0.090055252	0	0.019990805	0.028749306	0.016782789	0	0.023546812	0	0.414340887	0.008356881	0.269789349	0	0	0.120506118	0	0	0
TCGA-BH-A0EI	0.081530989	0	0.006064302	0.018431672	0	0.07043781	0	0.051497532	0.008234493	0	0	0.036584819	0	0.191931939	0.007503335	0.325580988	0	0.0293477	0.15758939	0	0	0.015265031
TCGA-BH-A0DX	0.01952288	0	8.83E-06	0.017475545	0	0.056836284	0	0.012579972	0	0.021889428	0	0	0	0.587892268	0.054468037	0.149283839	0.001469524	0	0.078573397	0	0	0
TCGA-E9-A228	0	0.000747699	0	0.0319117	0	0.010173188	0.000484612	0	0.000892427	0	0.013087114	0	0	0.654678433	0.013905107	0.208552814	0	0	0.065566905	0	0	0
TCGA-BH-A0HB	0.043558035	0	0.003163431	0.154017246	0	0.203719523	0.021016275	0.018646049	0.052410516	0.018955689	0	0	0.010362844	0.167287358	0.069192679	0.154258557	0.036286549	0.000546699	0.046578549	0	0	0
TCGA-A8-A07O	0.057438859	0	0.010461166	0.06711549	0	0.083870424	0.03136427	0.025203057	0.025031901	0	0	0.008661474	0.007798227	0.573165788	0.024769499	0.054125832	0	0.015651684	0	0.015342328	0	0
TCGA-A8-A09I	0.045152987	0	0.010005246	0.120482361	0	0.087051278	0.097045416	0.053120293	0.001141223	0	0	0.03607118	0.04251849	0.074695548	0.077913874	0.212865632	0.025721644	0.046119926	0.050337035	0	0	0.019757869
TCGA-AC-A2FB	0.100476989	0	0.001955243	0.210408671	0	0.286288459	0.104209029	0.014300724	0	0.020564776	0	0	0.006382442	0.028134579	0.093826482	0.055432438	0.001932074	0.002238807	0.073849286	0	0	0
TCGA-B6-A0RL	0	0.021382287	0.004704036	0.061798655	0	0.021804593	0	0.099111932	0.018606395	0	0	0.045904969	0	0.402018585	0.001983885	0.22695881	0	0.052764072	0.038779072	0	0.004182709	0
TCGA-C8-A1HG	0.000589807	0	0.107404715	0.279039312	0	0.058075905	0.070331246	0.042563747	0.042838608	0.004773823	0	0.018169502	0	0.062589022	0.081558399	0.187109035	0.008891239	0	0.035427174	0	0	0.000638467
TCGA-A8-A09M	0.033295964	0	0.038553343	0.140699545	0	0.192417766	0.027897993	0.065688222	0.042478246	0	0	0.004987248	0.057266327	0.061559573	0.094982607	0.201227883	0.009983336	0.007428992	0.021532956	0	0	0
TCGA-A8-A08O	0.302653556	0	0.064813302	0.087502118	0	0.164906053	0	0	0.003489255	0	0	0.02153275	0.021089974	0.102405353	0.043732637	0.07959504	0	0	0.108279962	0	0	0
TCGA-A2-A0EM	0.001964628	0	0.002030865	0.064672039	0	0.187884687	0	0.02141782	0	0.008035955	0	0.00816405	0.117557896	0.013630244	0.049650253	0.149578558	0.103835252	0.070941462	0.199653466	0	0	0.000982824
TCGA-D8-A27T	0.1069495	0	0.032282131	0.101500401	0	0.193577517	0.02373987	0.029258813	0.005561046	0.003480379	0	0	0.010130043	0.12688532	0.13872213	0.11951743	0.015960048	0	0.092435372	0	0	0
TCGA-AC-A6IW	0.01970693	0	0	0.140971906	0	0.131061527	0.018083488	0.109370902	0.021952771	0	0	0.012435807	0.012257577	0.015176627	0.133674013	0.166657222	0.203377504	0	0.008411752	0	0.005025688	0.001836286
TCGA-S3-A6ZH	0.063186257	0	0.117077957	0.079443547	0	0.125973728	0	0.035219058	0.037311063	0.001676817	0	0.047429709	0.017507597	0.026352916	0.131897231	0.118777405	0.051692428	0	0.146454286	0	0	0
TCGA-BH-A5IZ	0.019827108	0	0.033938787	0.050843418	0	0.028998941	0	0.025137794	0.014579641	0	0	0.017087164	0.003909382	0.495780509	0.027101588	0.192410875	0	0.071354209	0.000473494	0	0	0.018557091
TCGA-OL-A6VQ	0.131041895	0	0.030327121	0.082994574	0	0.285431798	0.031754642	0	0	0	0	0	0.006643737	0	0.089084681	0.079106243	0.119954333	0.031404238	0.105146174	0.007110564	0	0
TCGA-A2-A3Y0	0.03578417	0	0.007890865	0.227893919	0	0.086453205	0.116556018	0.078085916	0.090948296	0	0.012230698	0.007094367	0.005061719	0.156604576	0.086812221	0.062070525	0.012494852	0.005454286	0.004686605	0	0	0.003877762
TCGA-OL-A5RW	0.006794111	0.043603451	0	0.004384884	0	0.174958733	0	0.070814943	0.019123905	0	0.008726937	0	0.019833337	0.240588731	0.136771521	0.142928906	0	0.095208232	0.032865026	0	0	0.003397284
TCGA-OL-A66O	0.03695269	0	0.156239441	0.1262218	0	0.106472949	0	0.051082916	0.053234173	0	0	0.055881836	0.003026717	0.083194698	0.033123347	0.149177648	0.001961999	0	0.134619979	0	0.001843012	0.006966797
TCGA-A2-A0D0	0.059381266	0	0.003538065	0.17204727	0	0.144493488	0.060825888	0.064036528	0.019903285	0.005613568	0	0.022995065	0	0.219143961	0.077665695	0.099723225	0.047979872	0	0.000296047	0	0	0.002356778
