id	group
TCGA-A2-A1G6	low
TCGA-GM-A2DF	high
TCGA-EW-A6SC	low
TCGA-EW-A1IX	high
TCGA-E2-A1LS	high
TCGA-BH-A0B5	low
TCGA-D8-A27K	high
TCGA-E2-A1IO	low
TCGA-C8-A132	low
TCGA-BH-A0HA	low
TCGA-D8-A1Y2	low
TCGA-BH-A0BD	high
TCGA-GM-A3XL	low
TCGA-D8-A1XL	low
TCGA-A2-A3XS	high
TCGA-AC-A2FG	high
TCGA-D8-A73U	low
TCGA-AR-A24U	high
TCGA-A2-A0D1	low
TCGA-LL-A8F5	low
TCGA-EW-A1P7	low
TCGA-BH-A0DK	low
TCGA-BH-A1EX	high
TCGA-A7-A5ZW	low
TCGA-B6-A0IM	high
TCGA-BH-A0DT	low
TCGA-E9-A24A	high
TCGA-C8-A12Z	high
TCGA-E9-A1QZ	low
TCGA-AR-A1AS	high
TCGA-D8-A1JT	high
TCGA-D8-A1J8	low
TCGA-E9-A3QA	low
TCGA-BH-A1ET	low
TCGA-E2-A153	low
TCGA-BH-A0EI	high
TCGA-BH-A0DX	low
TCGA-E9-A228	low
TCGA-BH-A0HB	low
TCGA-A8-A07O	high
TCGA-A8-A09I	high
TCGA-AC-A2FB	low
TCGA-B6-A0RL	high
TCGA-C8-A1HG	low
TCGA-A8-A09M	low
TCGA-A8-A08O	high
TCGA-A2-A0EM	high
TCGA-D8-A27T	low
TCGA-AC-A6IW	high
TCGA-S3-A6ZH	high
TCGA-BH-A5IZ	low
TCGA-OL-A6VQ	low
TCGA-A2-A3Y0	low
TCGA-OL-A5RW	high
TCGA-OL-A66O	low
TCGA-A2-A0D0	high
TCGA-A2-A3KC	low
TCGA-A2-A0EY	high
TCGA-S3-AA15	low
TCGA-LD-A9QF	low
TCGA-E9-A1RH	high
TCGA-MS-A51U	low
TCGA-AR-A2LK	high
TCGA-AC-A2B8	low
TCGA-AC-A3W7	low
TCGA-E9-A3X8	low
TCGA-BH-A0BO	low
TCGA-AR-A0U4	low
TCGA-A2-A04N	high
TCGA-BH-A0AY	high
TCGA-BH-A18P	high
TCGA-A2-A0CQ	low
TCGA-EW-A6SB	low
TCGA-BH-A1FH	low
TCGA-B6-A1KI	high
TCGA-LL-A7T0	low
TCGA-A2-A0CW	high
TCGA-C8-A12P	high
TCGA-BH-A0HU	low
TCGA-A1-A0SG	high
TCGA-A2-A3XV	high
TCGA-BH-A0BV	low
TCGA-AR-A1AO	low
TCGA-AO-A12D	high
TCGA-BH-A0H6	high
TCGA-AR-A0TU	low
TCGA-BH-A1FN	high
TCGA-AN-A0XL	high
TCGA-A8-A07S	low
TCGA-A2-A0ER	high
TCGA-E2-A15H	high
TCGA-LL-A5YP	high
TCGA-5T-A9QA	high
TCGA-A2-A0YL	low
TCGA-AO-A1KP	high
TCGA-AO-A0JD	high
TCGA-A8-A075	high
TCGA-E9-A295	low
TCGA-A8-A08S	high
TCGA-AR-A254	low
TCGA-A7-A6VY	high
TCGA-A8-A09R	high
TCGA-AO-A0J5	high
TCGA-AC-A2BK	high
TCGA-EW-A2FW	high
TCGA-AR-A1AX	low
TCGA-S3-AA10	high
TCGA-D8-A1XA	high
TCGA-E9-A1N6	high
TCGA-BH-A1ES	high
TCGA-AQ-A1H3	low
TCGA-D8-A1XG	low
TCGA-GM-A3XG	low
TCGA-OL-A5D7	low
TCGA-C8-A12Y	low
TCGA-B6-A400	low
TCGA-D8-A1JS	high
TCGA-BH-A18R	high
TCGA-AR-A1AT	high
TCGA-D8-A1JD	high
TCGA-OL-A66K	low
TCGA-BH-A0B1	high
TCGA-E2-A1LK	high
TCGA-AC-A3TM	low
TCGA-E9-A22D	low
TCGA-E2-A15J	high
TCGA-PL-A8LZ	high
TCGA-A7-A426	low
TCGA-OL-A5S0	high
TCGA-GM-A2DN	low
TCGA-E9-A1NC	high
TCGA-AR-A2LO	low
TCGA-E9-A1R4	low
TCGA-A7-A4SA	low
TCGA-BH-A0C3	high
TCGA-A2-A0YC	low
TCGA-AO-A1KR	low
TCGA-E2-A1L8	high
TCGA-B6-A0RG	high
TCGA-E2-A154	high
TCGA-D8-A1XB	high
TCGA-A2-A0EP	low
TCGA-GM-A2DH	low
TCGA-LL-A440	low
TCGA-A7-A13D	low
TCGA-AR-A1AK	high
TCGA-AC-A23C	low
TCGA-UU-A93S	high
TCGA-BH-A0B8	low
TCGA-A2-A3XX	high
TCGA-A7-A4SB	high
TCGA-BH-A1FJ	high
TCGA-A2-A25F	low
TCGA-A2-A25E	high
TCGA-A2-A3XT	low
TCGA-BH-A0BT	high
TCGA-AO-A03L	high
TCGA-BH-A5J0	low
TCGA-BH-A209	high
TCGA-PE-A5DD	low
TCGA-JL-A3YW	high
TCGA-A2-A0T2	high
TCGA-B6-A0IP	low
TCGA-E9-A3HO	low
TCGA-BH-A18I	high
