"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070493","BP","GO:0070493","thrombin-activated receptor signaling pathway","1/1","11/23355",0.000470991222436212,0.00894883322629025,NA,"F2",1
"GO:0070944","BP","GO:0070944","neutrophil-mediated killing of bacterium","1/1","11/23355",0.000470991222436212,0.00894883322629025,NA,"F2",1
"GO:0070943","BP","GO:0070943","neutrophil-mediated killing of symbiont cell","1/1","14/23355",0.000599443374009856,0.00894883322629025,NA,"F2",1
"GO:0070942","BP","GO:0070942","neutrophil mediated cytotoxicity","1/1","16/23355",0.000685078141725803,0.00894883322629025,NA,"F2",1
"GO:1900016","BP","GO:1900016","negative regulation of cytokine production involved in inflammatory response","1/1","18/23355",0.000770712909441196,0.00894883322629025,NA,"F2",1
"GO:0042730","BP","GO:0042730","fibrinolysis","1/1","19/23355",0.000813530293299225,0.00894883322629025,NA,"F2",1
"GO:0048712","BP","GO:0048712","negative regulation of astrocyte differentiation","1/1","19/23355",0.000813530293299225,0.00894883322629025,NA,"F2",1
"GO:0030194","BP","GO:0030194","positive regulation of blood coagulation","1/1","21/23355",0.00089916506101495,0.00894883322629025,NA,"F2",1
"GO:1900048","BP","GO:1900048","positive regulation of hemostasis","1/1","21/23355",0.00089916506101495,0.00894883322629025,NA,"F2",1
"GO:0050820","BP","GO:0050820","positive regulation of coagulation","1/1","24/23355",0.00102761721258837,0.00894883322629025,NA,"F2",1
"GO:0051873","BP","GO:0051873","killing by host of symbiont cells","1/1","24/23355",0.00102761721258837,0.00894883322629025,NA,"F2",1
"GO:0051883","BP","GO:0051883","killing of cells in other organism involved in symbiotic interaction","1/1","27/23355",0.0011560693641619,0.00894883322629025,NA,"F2",1
"GO:0019835","BP","GO:0019835","cytolysis","1/1","28/23355",0.00119888674801971,0.00894883322629025,NA,"F2",1
"GO:0032967","BP","GO:0032967","positive regulation of collagen biosynthetic process","1/1","31/23355",0.00132733889959336,0.00894883322629025,NA,"F2",1
"GO:0045745","BP","GO:0045745","positive regulation of G protein-coupled receptor signaling pathway","1/1","32/23355",0.00137015628345127,0.00894883322629025,NA,"F2",1
"GO:0010714","BP","GO:0010714","positive regulation of collagen metabolic process","1/1","34/23355",0.00145579105116678,0.00894883322629025,NA,"F2",1
"GO:0048710","BP","GO:0048710","regulation of astrocyte differentiation","1/1","34/23355",0.00145579105116678,0.00894883322629025,NA,"F2",1
"GO:0090218","BP","GO:0090218","positive regulation of lipid kinase activity","1/1","34/23355",0.00145579105116678,0.00894883322629025,NA,"F2",1
"GO:0045686","BP","GO:0045686","negative regulation of glial cell differentiation","1/1","35/23355",0.00149860843502447,0.00894883322629025,NA,"F2",1
"GO:0002446","BP","GO:0002446","neutrophil mediated immunity","1/1","37/23355",0.00158424320274042,0.00894883322629025,NA,"F2",1
"GO:0006953","BP","GO:0006953","acute-phase response","1/1","42/23355",0.00179833012202946,0.00894883322629025,NA,"F2",1
"GO:0051281","BP","GO:0051281","positive regulation of release of sequestered calcium ion into cytosol","1/1","42/23355",0.00179833012202946,0.00894883322629025,NA,"F2",1
"GO:0030195","BP","GO:0030195","negative regulation of blood coagulation","1/1","48/23355",0.00205523442517663,0.00894883322629025,NA,"F2",1
"GO:0032965","BP","GO:0032965","regulation of collagen biosynthetic process","1/1","48/23355",0.00205523442517663,0.00894883322629025,NA,"F2",1
"GO:1900047","BP","GO:1900047","negative regulation of hemostasis","1/1","49/23355",0.00209805180903466,0.00894883322629025,NA,"F2",1
"GO:0050819","BP","GO:0050819","negative regulation of coagulation","1/1","50/23355",0.00214086919289247,0.00894883322629025,NA,"F2",1
"GO:0014014","BP","GO:0014014","negative regulation of gliogenesis","1/1","51/23355",0.00218368657675017,0.00894883322629025,NA,"F2",1
"GO:0043550","BP","GO:0043550","regulation of lipid kinase activity","1/1","52/23355",0.00222650396060797,0.00894883322629025,NA,"F2",1
"GO:1900015","BP","GO:1900015","regulation of cytokine production involved in inflammatory response","1/1","52/23355",0.00222650396060797,0.00894883322629025,NA,"F2",1
"GO:0010712","BP","GO:0010712","regulation of collagen metabolic process","1/1","55/23355",0.00235495611218173,0.00894883322629025,NA,"F2",1
"GO:0002534","BP","GO:0002534","cytokine production involved in inflammatory response","1/1","56/23355",0.00239777349603931,0.00894883322629025,NA,"F2",1
"GO:0090303","BP","GO:0090303","positive regulation of wound healing","1/1","56/23355",0.00239777349603931,0.00894883322629025,NA,"F2",1
"GO:0032964","BP","GO:0032964","collagen biosynthetic process","1/1","57/23355",0.00244059087989734,0.00894883322629025,NA,"F2",1
"GO:0010524","BP","GO:0010524","positive regulation of calcium ion transport into cytosol","1/1","63/23355",0.00269749518304452,0.00938163597123186,NA,"F2",1
"GO:0030193","BP","GO:0030193","regulation of blood coagulation","1/1","66/23355",0.00282594733461783,0.00938163597123186,NA,"F2",1
"GO:0031640","BP","GO:0031640","killing of cells of other organism","1/1","66/23355",0.00282594733461783,0.00938163597123186,NA,"F2",1
"GO:1900046","BP","GO:1900046","regulation of hemostasis","1/1","67/23355",0.00286876471847586,0.00938163597123186,NA,"F2",1
"GO:0050818","BP","GO:0050818","regulation of coagulation","1/1","70/23355",0.00299721687004939,0.00954376950726253,NA,"F2",1
"GO:0061045","BP","GO:0061045","negative regulation of wound healing","1/1","72/23355",0.00308285163776489,0.00956474482486031,NA,"F2",1
"GO:1903036","BP","GO:1903036","positive regulation of response to wounding","1/1","74/23355",0.00316848640548073,0.00958467137657921,NA,"F2",1
"GO:0014068","BP","GO:0014068","positive regulation of phosphatidylinositol 3-kinase signaling","1/1","77/23355",0.00329693855705426,0.00968603687879909,NA,"F2",1
"GO:0051279","BP","GO:0051279","regulation of release of sequestered calcium ion into cytosol","1/1","81/23355",0.0034682080924856,0.00968603687879909,NA,"F2",1
